Buyer Address,Buyer Name,Trade Count,Trade Collection,Trade NFT,Trade Price,Trade Date,Featured Date
0x633a3f9835ec3091fc67e65c698d3ff93de07976,CleCle,62,SoulCurryArt,Spaces,0.12,2021-07-23T07:45:37.312794,2021-08-03T09:36:39
,,,Zuzana Breznanikova Art (Featured collection),"""Tender Morphism"" 7/7",0.11,2021-08-10T15:16:11.225170,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""E T H E R E A L"" 7/7",0.09,2021-08-10T15:12:51.443438,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""B*tchy""  5/5",0.15,2021-08-10T15:07:29.985081,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Dark Beauty""  5/5",0.17,2021-08-10T15:06:50.242806,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Dandeliomorphic"" 5/5",0.17,2021-08-09T16:45:37.707266,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Bewitched"" 7/7",0.1,2021-08-06T07:30:35.531908,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Hidden"" 15/15",0.11,2021-08-06T05:49:34.938547,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Cleopatra"" 10/10",0.079,2021-08-04T10:23:00.166448,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Badass Girl"" 7/7",0.07,2021-07-31T15:31:26.722975,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""M I N D F U L""  7/7 ",0.07,2021-07-23T13:17:01.925999,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""Blossom Perception"" 7/7",0.07,2021-07-22T22:33:25.543562,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""A Sullen Girl"" 10/10",0.07,2021-07-21T16:18:13.956748,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""S O M B R E""  7/7",0.07,2021-07-21T13:40:13.149733,2021-08-10T17:21:41
,,,Zuzana Breznanikova Art (Featured collection),"""P E R T U R B E D""  7/7",0.07,2021-07-21T05:28:03.532524,2021-08-10T17:21:41
,,,Dylan Gill Art Studio,Enlightened,0.5,2021-08-16T19:26:44.277938,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Totmented Thoughts,0.1,2021-08-16T16:51:10.115771,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Irony,0.1,2021-08-16T16:31:02.882286,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Hindsight,0.5,2021-08-16T13:27:01.559473,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Northern Soul,0.5,2021-08-16T13:23:29.976074,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Frailty,0.5,2021-08-16T13:19:43.421951,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,A Moment in Time,0.5,2021-08-16T12:51:30.524847,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Holding up the Green Sun,0.1,2021-08-16T12:47:00.226722,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,South East Engagement,0.1,2021-08-16T12:45:52.290190,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Irony,0.1,2021-08-16T12:42:03.238812,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Totmented Thoughts,0.1,2021-08-16T12:41:54.722891,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Mindful Diversion,0.09,2021-08-15T03:24:44.838381,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Hypnotic Hallucinations,0.06,2021-08-12T23:52:01.496633,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Lost,0.07,2021-08-12T23:23:22.387750,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,The Middle of Nowhere,0.06,2021-08-09T17:16:13.953354,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Eureka,0.06,2021-08-08T20:15:23.984152,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,The Game Changer,0.06,2021-08-06T11:59:52.490620,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Cryptic Memories,0.06,2021-07-25T14:44:38.413264,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,The Grip of Anxiety,0.09,2021-07-25T13:32:08.864330,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,2am Mother & Child,0.08,2021-07-25T13:29:52.726841,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,The Debate,0.07,2021-07-24T22:51:12.251819,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Lost in a Box ,0.05,2021-07-23T07:53:37.507135,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,Raise a Glass,0.2,2021-07-23T06:21:06.049812,2021-08-16T19:45:00
,,,Dylan Gill Art Studio,The Break Up,0.05,2021-07-23T04:56:07.928101,2021-08-16T19:45:00
