Collection,Occurrence Date,Item,Price,From,To,Trade Date
Art Blocks Curated,20210413161949,Chromie Squiggle #7078,0.5,(0x1bb77204b2ed64751138145c26a6b31e836ddcdb),ClimateX(0xdfa956f82d7a98b4637d900022adad1afdf2b411),2021-04-13T15:08:55.411590
,,Chromie Squiggle #1634,0.5199,B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),B1Pineapple(0x52d11c3ff033231f74740873917a3c854e77d883),2021-04-13T14:57:54.680353
,,27-Bit Digital #47,0.099,(0xaae8c50d76c76fb8947c9a203103d28b55862977),LaughingFox(0x4c6b28ac06502821dc6d6acb3f869be5b09b2048),2021-04-13T14:38:06.161266
,,Inspirals #81,0.2,Verty(0x4426a261ac0080ca10ee024c2588c9dfcf6737fc),go-on(0xd022aff371f2b0647b90fdac50746d26192c4e00),2021-04-13T13:18:14.778798
,,Apparitions #996,0.6,oeon(0xd28bfaea8c886ff6424141278a928f3cde2741f1),rudya(0x3612b2e93b49f6c797066ca8c38b7f522b32c7cb),2021-04-13T12:14:05.560064
,,Chromie Squiggle #2943,0.633,acc(0xa2d50deff9b7d31b6f1f85654c04c4609d08c6e2),papalama(0xac28a07cbe596e66b67004dd6f87e858410b09ea),2021-04-13T11:49:49.859831
,,Algobots #216,2.0,(0xfc2a616d48a8681250aaaf590404e20812e96cfa),DandesBidding(0x8d92ef3344fcbe73dfd2abb92c1932c17981ed81),2021-04-13T11:46:00.827454
,,Aerial View #249,0.12,amiralabdou(0xc7338c3c2d6fa206844592cdff85f3460822fbb6),go-on(0xd022aff371f2b0647b90fdac50746d26192c4e00),2021-04-13T09:25:50.291746
,,Apparitions #862,0.45,WilliamBasinski(0xfb6223ea050a0956cdf294129a00f66b5ae4f5a5),davefree(0xe96f111a575b914c055bd331fab5ede7f8c38d14),2021-04-13T09:19:14.987822
,,Apparitions #870,1.0,xnmtrc2(0x98f3ecdf3ac268b7829e94bbbfd24c4616f27f50),Jollytime(0xfea6145aec3832672df239639fbc1db273ace241),2021-04-13T08:45:14.791447
,,Algobots #393,1.1,CSGAI(0xa3c277b8f35881cbdb017e52bcc376b3ce8f21da),metamix(0x7779756dc9f66a5f769f34bf0918d6c180783bd7),2021-04-13T08:39:16.627670
,,Chromie Squiggle #2294,1.0999,B6F6E7(0x7058634bc1394af83aa0a3589d6b818e4c35295a),(0x65e6d2ce4c7d095a84433b6e10b4ee98507fb1e1),2021-04-13T08:26:03.340763
,,Algobots #375,1.3,Tweety_Pie(0xee402489d83e2b22d496910f8c810d35a3ad7b25),0x9830(0x9830242fe206809b66f57a150311aa925b96ac59),2021-04-13T06:58:46.232575
,,Algobots #380,1.5,Tweety_Pie(0xee402489d83e2b22d496910f8c810d35a3ad7b25),afk(0xcd981d4402a3d88fff43afdc5926514bdb5824bd),2021-04-13T05:55:45.067813
,,Inspirals #477,0.08303036601769488,(0xa569d0d48e3a433ac7694f72426259fcb6bf1aca),mirage88(0x7db5255041e2058bc40d0b07c8e36da0de37baff),2021-04-13T05:45:32.988612
,,Spectron #15,0.29,(0xf6fe367d071ebadc32b7f530158de1e218d0e43b),yung1800yearold(0xfd41bef1fd45d7db65fb8f4cd3804e4c8daff6b9),2021-04-13T05:27:09.996799
,,Algobots #20,2.5,Tilda(0x2ad3d1c3a10101b2cfb2ade0999a8e1c41656f07),straybits(0x1e32a859d69dde58d03820f8f138c99b688d132f),2021-04-13T05:20:46.467178
,,Algobots #9,2.0,62(0x62223651d6a33d58be70eb9876c3caf7096169ef),0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c(0x09d390e78faa3eca8c6e3c0bb3c6cbcaf679a44c),2021-04-13T05:20:46.490548
,,Algobots #371,1.3,julianouliano(0xd67cd8a0d71c8974d0bc78400f023fc2aa4f9b0d),bbbbbbbbb(0xbd23ba386baf796b6526e1670d9dddf1f7b15ebb),2021-04-13T05:19:35.811905
,,Algobots #381,1.3,SchlongBrothers69(0xd62c014b45a35f78bcf465d75ada029c94fdabf9),Ponyo(0x087ee66cc7914c20b49ab2a2de3cfe3b08fb18f2),2021-04-13T05:11:26.972908
,,Algobots #172,1.799,NFTey(0x4361feec441411d41bae7175dd00a782abc06009),straybits(0x1e32a859d69dde58d03820f8f138c99b688d132f),2021-04-13T05:06:43.711825
,,Algobots #458,1.2,(0x0f0fc66427bbd8af795b19f6b729c916350dc880),SunnyDay15(0xb394e284b59e95599151bed5d39a8f3c00acc54e),2021-04-13T05:00:04.318635
,,Algobots #329,1.0,Tempura(0xf14f36fdf50d8b5052b97b3546f28c5ef934d847),TeeKay(0x98a692316057e74b9297d53a61b4916d253c9ea6),2021-04-13T04:46:33.134063
,,Algobots #499,4.888,MintyBurns(0xbe0c0df368687e580fa2c3ad3c9412981f0273fb),metamix(0x7779756dc9f66a5f769f34bf0918d6c180783bd7),2021-04-13T04:37:47.656925
,,Algobots #344,1.34,ya_boi_schwartz(0xb96f4285d205529f38990c88e9e03512f2bfc9f1),caniss(0x6c3e007377effd74afe237ce3b0aeef969b63c91),2021-04-13T04:37:21.067941
,,Algobots #210,15.0,(0x65e6d2ce4c7d095a84433b6e10b4ee98507fb1e1),metamix(0x7779756dc9f66a5f769f34bf0918d6c180783bd7),2021-04-13T04:37:20.933684
